id,lat,lon,time,pw,pw_era5,zwd
AGGO00ARG,-34.873714,-58.139866,01-09-2023 00:00,10.47,10.27,2.3798
ANTC00CHL,-37.338703,-71.53205,01-09-2023 00:00,6.3,9.68,2.1685
AREG00PER,-16.465424,-71.492905,01-09-2023 00:00,10.33,11.96,1.8078
AREQ00PER,-16.46567,-71.4932,01-09-2023 00:00,10.4,11.96,1.8083
BRAZ00BRA,-15.9474745,-47.87787,01-09-2023 00:00,39.23,34.83,2.2865
CHPG00BRA,-22.682274,-45.002377,01-09-2023 00:00,19.58,21.02,2.2993
CHPI00BRA,-22.687145,-44.985157,01-09-2023 00:00,19.28,20.44,2.2846
CHTI00NZL,-43.735474,-176.61711,01-09-2023 00:00,9.12,9.86,2.3769
CORD00ARG,-31.528435,-64.47005,01-09-2023 00:00,12.06,13.32,2.2017
FAA100PYF,-17.555313,-149.6143,01-09-2023 00:00,28.45,30.76,2.486
FALK00FLK,-51.693653,-57.87407,01-09-2023 00:00,9.03,8.46,2.3112
GAMB00PYF,-23.130354,-134.96483,01-09-2023 00:00,30.46,35.55,2.4681
IQQE00CHL,-20.27354,-70.131714,01-09-2023 00:00,17.86,19.22,2.4228
LPGS00ARG,-34.906746,-57.9323,01-09-2023 00:00,10.02,9.75,2.3799
MGUE00ARG,-35.77735,-69.39793,01-09-2023 00:00,8.32,9.61,1.9797
MTV100URY,-34.91359,-56.1763,01-09-2023 00:00,6.05,9.18,2.3525
MTV200URY,-34.91359,-56.1763,01-09-2023 00:00,6.03,9.18,2.3524
NIUM00NIU,-19.076529,-169.92706,01-09-2023 00:00,42.26,39.27,2.5729
OAFA00ARG,-31.508684,-68.62327,01-09-2023 00:00,11.96,12.27,2.1979
PALM00ATA,-64.77509,-64.051125,01-09-2023 00:00,7.81,5.67,2.2568
PARC00CHL,-53.136955,-70.87988,01-09-2023 00:00,8.73,8.57,2.2891
POAL00BRA,-30.074043,-51.119766,01-09-2023 00:00,14.38,15.15,2.3964
RGDG00ARG,-53.78584,-67.751526,01-09-2023 00:00,8.98,8.88,2.2867
RIO200ARG,-53.785473,-67.75112,01-09-2023 00:00,8.92,8.88,2.2863
ROTH00ATA,-67.571396,-68.125755,01-09-2023 00:00,5.63,4.99,2.2492
SANT00CHL,-33.150288,-70.66856,01-09-2023 00:00,14.85,16.12,2.2295
SCRZ00BOL,-17.796791,-63.159676,01-09-2023 00:00,39.4,34.97,2.4323
SPTU00BRA,-21.929117,-50.49237,01-09-2023 00:00,25.0,27.41,2.3401
THTG00PYF,-17.577063,-149.60643,01-09-2023 00:00,27.14,29.43,2.4556
THTI00PYF,-17.577063,-149.60645,01-09-2023 00:00,27.3,29.43,2.4566
UFPR00BRA,-25.448368,-49.230953,01-09-2023 00:00,9.94,11.15,2.1502
UNSA00ARG,-24.727457,-65.407646,01-09-2023 00:00,14.57,15.99,2.0937
USCL00CHL,-33.449852,-70.68134,01-09-2023 00:00,15.22,17.42,2.2685
